id_article;id_cited_article
2480429;6657606
2480429;6202907
2480429;5065299
2480429;6482201
2480429;5277806
2480429;5881822
2480429;7150428
2480429;7153255
2480429;5977786
2480429;6423828
2480429;5184903
2480429;5912610
2480429;6957715
2480429;5744002
2480429;5047867
2480429;6193286
2480429;6334449
5011145;6549250
5011145;6612604
5011145;6329774
5011145;6185739
5011145;6448889
5011145;5968527
5011145;5753531
5011145;5847943
5011145;6710769
5011145;6739597
5011145;5933740
5011145;5322156
5011549;5833631
5011549;7091598
5011549;6209235
5011549;6316075
5011549;6013355
5011549;5439593
5011549;6826912
5011549;5809598
5011549;6685109
5011549;6199388
5011549;5747225
5011549;5434382
5011607;5351868
5011607;6563272
5011607;5827256
5011607;5536326
5011607;5920179
5011607;5683839
5011607;6826207
5011607;6096989
5011607;5226156
5011647;6681073
5011647;6043151
5011647;6315591
5011647;6198897
5011647;5976108
5011647;6922824
5011647;6209584
5011763;6619283
5011763;6441602
5011763;7068638
5011763;5618094
5011763;5690711
5011763;6465887
5011763;6900539
5011763;5210915
5011763;7074216
5011763;5750317
5011763;5917920
5011763;6955451
5011763;5506832
5011763;5860768
5011763;5730650
5011808;6902899
5011808;5179704
5011808;5531272
5011808;5326677
5011808;6714250
5011808;6939791
5011808;5541304
5011808;6487028
5011808;5299133
5011808;5874265
5011808;6226801
5011808;6392731
5011808;7114454
5011808;5948058
5011808;6589625
5011808;5251383
5011808;5897819
5011808;6093896
5011808;6628072
5011891;6613766
5011891;6113826
5011891;6990467
5011891;5467921
5011891;5695786
5011891;6997051
5011931;5724195
5011931;5401450
5011931;5694073
5011931;5770869
5011931;5203762
5011931;6837957
5011931;5885208
5011931;5904360
5011931;5293894
5011931;6695627
5011931;5099377
5011931;5646616
5011931;5694350
5011931;5081374
5011931;5292799
5011931;5604118
5011931;6674116
5011931;5179040
5011931;5546126
5012047;5286678
5012047;5475324
5012047;5286138
5012047;6858009
5012047;6200683
5012047;6386357
5012047;6222708
5012047;6044264
5012047;5093761
5012047;6320497
5012047;6963085
5012047;5627224
5012047;5071795
5012047;5650301
5012047;5439259
5012047;6613847
5012047;6745695
5012047;5844847
5012377;5904183
5012377;6359846
5012377;6393461
5012377;6204730
5012377;6182652
5012377;6002345
5012377;5879437
5012377;5338316
5012377;6115648
5012377;6836688
5012377;7092229
5012377;6226095
5012377;5700578
5012377;6824220
5012377;5309790
5012377;6967746
5012377;6197657
5012377;5725134
5012492;6075038
5012492;6201987
5012492;6475656
5012492;5299228
5012492;5573058
5012492;5141356
5012492;5656551
5012492;5476826
5012492;5257831
5012492;6273440
5012492;5136005
5012492;6173455
5012492;5090324
5012555;6323475
5012555;6344068
5012555;5061528
5012555;6986208
5012555;5218992
5012555;6177437
5012555;6919964
5012555;6181688
5012555;6654314
5012555;6181512
5012555;5985303
5012555;7075582
5012555;5748376
5012558;6340979
5012558;5561510
5012558;5075559
5012558;6175776
5012558;5996699
5012558;5037547
5012558;6695597
5012558;5421249
5012558;5584310
5012558;6455851
5012558;5892354
5012573;6890265
5012573;5489918
5012573;6490907
5012573;7130448
5012573;5492083
5012573;5620734
5012573;5740627
5012573;6601634
5012573;6803371
5012573;5480310
5012573;5031195
5012573;6375789
5012573;6354257
5012573;5595057
5012573;6278502
5012573;6130309
5012573;6873009
5012573;5201346
5012573;6054396
5012621;5062835
5012621;6593292
5012621;7132176
5012621;6615531
5012621;6032236
5012621;6385299
5012621;5587142
5012621;5972960
5012621;6718462
5012621;6197657
5012621;6087423
5012621;5931540
5012621;6469620
5012621;6459650
5012621;5973625
5012621;6855786
5012722;5430700
5012722;5657438
5012722;5846915
5012722;6565712
5012722;5611847
5012722;6652093
5012722;5857058
5012722;5264520
5012722;6715158
5012722;6686294
5012733;6490174
5012733;6247870
5012733;5668640
5012733;5574312
5012733;5453274
5012917;6157305
5012917;6950686
5012917;5403021
5012917;5235606
5012917;6360434
5012917;5946887
5012917;7114789
5012917;6057103
5012917;5037026
5012917;5984658
5012917;6898676
5012917;6013494
5012917;5299728
5012917;6923227
5012917;6823165
5012917;6451211
5012917;5784621
5012917;6003491
5012917;5445662
5012917;6273314
5013045;5110939
5013045;5430143
5013045;6331491
5013045;6360409
5013045;5860452
5013045;5249814
5013045;6849940
5013106;6128055
5013106;6842248
5013106;7024311
5013106;6126752
5013106;5115437
5013106;6363425
5013106;5753559
5013106;6923912
5013106;6013214
5013106;5443651
5013106;7134849
5013106;6530505
5013106;6655488
5013106;5321293
5013106;5077161
5013167;6063800
5013167;5368078
5013167;5345980
5013167;5856653
5013167;5295199
5013167;6236216
5013167;6902796
5013167;6533711
5013167;6566688
5013167;6811791
5013167;5996861
5013167;6895403
5013167;5925939
5013167;5062834
5013167;6976524
5013167;7047568
5013167;5360491
5013167;6847274
5013381;5683219
5013381;5645548
5013381;5027164
5013381;6859686
5013381;6262326
5013381;5491086
5013381;5380827
5013381;6181749
5013381;6839414
5013381;6355113
5013381;6071739
5013381;6920867
5013381;5095903
5013381;5598322
5013381;5407915
5013381;5671342
5013381;5821661
5013381;6683843
5013381;5495923
5013998;7055963
5013998;6042073
5013998;6855259
5013998;5173566
5013998;5919555
5013998;7104064
5013998;5299133
5013998;6711321
5013998;5035285
5013998;7144136
5013998;6155278
5013998;5579992
5013998;5056086
5013998;7070034
5014042;6261658
5014042;6758608
5014042;5586830
5014072;6366721
5014072;5866596
5014072;6494776
5014072;6082571
5014072;6789780
5014072;5413098
5014072;5030054
5014072;6128353
5014072;5596537
5014120;6551894
5014120;5780171
5014120;5555596
5014172;6407489
5014172;5428946
5014172;6258366
5014172;5911853
5014172;5528192
5014172;6623985
5014172;5859552
5014172;5931063
5014172;5586989
5014172;6063576
5014172;6943136
5014172;5923881
5014172;5243709
5014172;5802659
5014172;5990540
5014172;6805966
5014300;5047892
5014300;5812205
5014300;5411111
5015101;6930638
5015101;6689704
5015101;6342790
5015101;5302050
5015101;6218892
5015101;5622953
5015101;6923317
5015101;7012635
5015101;5281601
5015101;6107162
5015299;7141276
5015299;5564343
5015299;5937991
5015299;7078782
5015299;5168093
5015299;5524919
5015299;6285847
5015299;6843208
5015299;5680365
5015299;5642618
5015299;6800818
5015299;5330587
5015299;6566961
5015299;7060000
5015326;6386228
5015326;6592466
5015326;6017508
5015326;5888620
5015397;5378660
5015397;6548852
5015397;5162486
5015397;5417511
5015397;6493610
5015397;6790845
5015397;5100568
5015397;5975298
5015397;5383207
5015397;5475230
5015397;6851010
5015397;5512231
5015411;6201914
5015411;7091147
5015411;5434571
5015411;5646996
5015411;5368084
5015500;6812019
5015500;6660894
5015500;5566401
5015500;5656822
5015500;6329908
5015528;5392442
5015528;5180304
5015528;5997255
5015528;6370748
5015528;5184156
5015528;6968614
5015528;5254284
5015528;5090366
5015528;6636119
5015528;7122568
5015528;6088471
5015528;5030708
5015528;5319847
5015528;6782572
5015663;6921962
5015663;5352648
5015663;5937554
5015663;6977774
5015663;5925886
5015663;5253283
5015883;6508910
5015883;6955451
5015883;5446274
5015883;5577047
5015883;6322172
5015883;6544942
5015883;6832355
5015883;5118901
5015883;5023626
5015883;5983309
5015883;5229762
5015883;5498093
5015883;5356892
5015883;5693887
5015883;5176854
5015883;6645080
5015883;5896527
5015883;6073802
5015883;6797246
5015913;5813423
5015913;6894107
5015913;6784280
5015913;5019536
5015913;5261004
5015913;6437278
5015913;5652773
5015913;6041119
5015913;5977134
5015913;5477235
5015913;7060215
5015913;6685248
5015913;5555925
5015913;5308844
5015913;5987765
5015964;6860679
5015964;5338285
5015964;5428056
5015964;6204017
5015964;6782397
5015964;6399912
5015964;6795769
5015964;6592546
5015964;5563409
5016067;6085612
5016067;6559839
5016067;5314676
5016067;5874487
5016307;5167447
5016307;6166314
5016307;5269955
5016307;6052867
5016307;6723620
5016307;6697154
5016307;5161514
5016457;5124115
5016457;5347511
5016457;5135899
5016457;5447164
5016457;6535372
5016457;5684767
5016457;5853276
5016457;5847103
5016457;6703483
5016457;6510686
5016457;5135273
5016457;5468877
5016457;6960698
5016457;6112711
5016457;6181962
5016457;5248860
5016457;6542732
5016504;5411244
5016504;5492965
5016504;6565569
5016504;5488169
5016504;6927814
5016504;5476638
5016608;5663082
5016608;5700090
5016608;5798987
5016608;6465178
5016608;6710173
5016608;6980993
5016608;6958700
5016608;6356615
5016608;5624838
5016608;6204585
5016608;5341369
5016608;5073819
5016624;7098687
5016624;5084665
5016624;6457598
5016624;6677322
5016624;6279239
5016624;5817854
5016624;5687452
5016624;6320187
5016624;6320570
5016624;5110236
5016870;6492346
5016870;5309054
5016870;5691296
5016870;6266306
5016870;6018961
5016870;5781491
5016870;5031040
5016891;5810232
5017071;6282777
5017071;5928462
5017071;7046270
5017071;6650493
5017071;6846904
5017071;5939852
5017177;5384366
5017177;5465244
5017177;6425068
5017177;6982976
5017177;5664069
5017177;5686491
5017177;6566906
5017177;6275165
5017177;5455927
5017177;6665285
5017177;7149173
5017324;5400515
5017324;5522980
5017324;5192173
5017324;6746491
5017324;5699040
5017324;5796304
5017324;6642925
5017324;6011373
5017324;6926655
5017324;5781456
5017324;6864933
5017324;5727726
5017324;7044288
5017324;6077789
5017324;5435347
5017324;5554518
5017324;6318237
5017324;5328950
5017324;5925993
5017370;5037022
5017370;5236598
5017370;5216327
5017370;6354007
5017370;5931711
5017370;5832204
5017455;5591705
5017455;6076615
5017455;5346683
5017455;5412174
5017455;7110428
5017455;5099954
5017559;7013782
5017559;5730813
5017559;6550539
5017682;6941298
5017682;6759810
5017682;7087928
5017682;5295701
5017682;5766315
5017682;6515576
5017682;5549717
5017682;6432924
5017720;7114660
5017720;6228841
5017720;6605407
5017727;6805932
5017727;5041839
5017727;5938620
5017727;6423464
5017727;6650442
5017727;6285745
5017727;6213255
5017727;5452506
5017727;5289110
5017727;6260021
5017989;5077965
5017989;6482465
5017989;5603711
5017989;5923050
5017989;5139624
5017989;5689151
5017989;6069657
5017998;6861789
5017998;6142948
5017998;5367453
5017998;6890754
5017998;6952415
5017998;5067401
5017998;5345950
5017998;5120979
5017998;7082965
5018186;6129896
5018186;6764738
5018186;6917465
5018186;5329738
5018186;5187603
5018186;6519830
5018186;5162583
5018186;5346796
5018186;5612729
5018186;5857322
5018186;6129552
5018251;5987850
5018251;6795900
5018251;5414713
5018251;6437182
5018251;7017873
5018251;5720758
5018251;5422578
5018251;6023843
5018251;5809179
5018251;5618751
5018251;6422761
5018251;6355377
5018338;6741378
5018338;5919980
5018338;6480574
5018338;6665970
5018338;5105670
5018338;5587015
5018338;5570652
5018338;6504458
5018338;6226801
5018338;6071304
5018338;5771184
5018338;5758153
5018338;5330205
5018338;6205305
5018338;5481341
5018524;6678563
5018658;5028745
5018658;6941024
5018658;6129397
5018658;5041458
5018658;5571810
5018658;5415588
5018658;6836993
5018658;6026619
5018658;6106754
5018658;5136168
5018658;6443717
5018658;5044921
5018658;6123011
5018658;5903864
5018658;5334500
5018658;5694018
5018658;6516518
5018658;6088981
5018711;5569703
5018711;6436731
5018711;5081042
5018781;7067989
5018781;6629558
5018781;5282229
5018781;6423464
5018781;7095519
5018781;5582469
5018781;6012977
5018781;5793879
5018781;6997511
5018781;6209043
5018781;5760981
5018781;5507765
5018781;5323768
5018781;6396429
5018781;5088685
5018934;5172810
5018934;5053717
5018934;5012947
5018934;6444061
5018934;5212286
5018934;5694703
5018934;6904039
5018934;6779204
5018934;5857970
5018934;6177481
5018934;5640196
5018934;6104468
5018934;6784574
5018934;5850738
5018946;5606140
5018946;6583578
5018946;5877744
5018946;6544457
5018946;6019291
5018946;6414880
5019163;5417376
5019163;5480206
5019163;5488819
5019163;6274038
5019163;5754011
5019163;5531798
5019163;5743641
5019163;5418513
5019163;6184628
5019163;6279599
5019163;6685104
5019163;5636995
5019254;5759935
5019254;6665285
5019254;6504248
5019254;6734083
5019254;5922849
5019254;5619067
5019254;5229455
5019254;5553250
5019254;5286250
5019254;5118570
5019254;5512305
5019254;6748079
5019254;6359925
5019254;5994006
5019254;6914489
5019254;5994400
5019254;5543079
5019254;6921626
5019254;6005638
5019281;6232288
5019281;6956704
5019281;5725038
5019281;5508554
5019281;6505505
5019281;6773858
5019281;5189294
5019281;6551671
5019281;6753291
5019281;6339439
5019281;6684163
5019281;6850920
5019281;6386878
5019281;5114287
5019281;6201211
5019281;5891521
5019281;5542506
5019281;5938608
5019288;5214283
5019288;6491839
5019288;5815492
5019288;6664920
5019442;5157030
5019442;7075359
5019442;6300666
5019442;5875515
5019442;5375473
5019442;5752861
5019616;5793111
5019616;6793375
5019616;5388976
5019616;5947583
5019616;5327778
5019616;5579642
5019616;5265843
5019664;5726046
5019664;5668549
5019664;7061109
5019664;6351948
5019664;5148991
5019664;6259753
5019664;6629108
5019696;5451628
5019696;6609604
5019712;5730851
5019712;6486798
5019712;5385213
5019712;5871320
5019712;6360875
5019712;6808733
5020026;5060999
5020026;5230752
5020026;6719108
5020026;6766123
5020026;5420212
5020026;6843549
5020026;6121283
5020026;6026111
5020026;6568150
5020026;6246003
5020026;5753012
5020026;6446810
5020026;6910598
5020108;5282965
5020108;6281454
5020108;6642570
5020108;6131329
5020118;5451459
5020118;6400288
5020118;5890422
5020118;6364840
5020118;5398576
5020118;5842784
5020118;5334791
5020118;5389918
5020118;5424142
5020118;5565624
5020118;6507062
5020118;7108787
5020118;5050920
5020118;6773032
5020118;5059779
5020195;6939231
5020195;6525974
5020195;6000738
5020195;6840263
5020195;5052914
5020195;5916743
5020195;7049000
5020195;5687213
5020195;6434017
5020195;6747341
5020195;5732773
5020195;6389388
